iter	Logloss
0	0.6307708227
1	0.5798219204
2	0.5306298231
3	0.4921805041
4	0.4589153801
5	0.4296833647
6	0.4026613318
7	0.3790146395
8	0.3574332861
9	0.3390287146
10	0.3226281048
11	0.3085789498
12	0.2953383941
13	0.2826293075
14	0.2729406371
15	0.2636463789
16	0.2551360944
17	0.2460968748
18	0.2378547812
19	0.2304511515
20	0.22451406
21	0.2196860641
22	0.2145930643
23	0.2091654905
24	0.2047951495
25	0.2005712866
26	0.1962284626
27	0.1915710574
28	0.1879461816
29	0.183379474
30	0.1807093181
31	0.1777139159
32	0.1751769149
33	0.1723862899
34	0.1691532611
35	0.1666010246
36	0.1650377255
37	0.1631071739
38	0.1608336376
39	0.1593030637
40	0.1578460398
41	0.1569321604
42	0.1556649113
43	0.1547862134
44	0.1539043129
45	0.1528316115
46	0.1513617774
47	0.1492358075
48	0.1481867055
49	0.1474020167
50	0.1468537574
51	0.1455169849
52	0.1447976842
53	0.1437412754
54	0.1422442817
55	0.1416832899
56	0.1405370696
57	0.1399150271
58	0.1385836026
59	0.1373266297
60	0.136570313
61	0.1354032449
62	0.1348146583
63	0.1341394783
64	0.133556706
65	0.1327443757
66	0.13205054
67	0.1315045816
68	0.1304619158
69	0.129832722
70	0.1293311797
71	0.1284554511
72	0.1273799824
73	0.1269310569
74	0.1265448611
75	0.1257168288
76	0.1247959535
77	0.1242618104
78	0.1239465528
79	0.1236814945
80	0.1232884194
81	0.1230317717
82	0.1227389631
83	0.1223170183
84	0.1213522089
85	0.120851988
86	0.120433067
87	0.1199726915
88	0.1196232629
89	0.1193390514
90	0.1188512599
91	0.1181848014
92	0.117886637
93	0.1174838377
94	0.1167115548
95	0.1164477635
96	0.1159837891
97	0.1158487064
98	0.115470517
99	0.1148696565
